Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,0.6678,957,81120,961
A*_taxicab_heuristic,0.6325,957,81120,961
A*_chebyshev_heuristic,0.6206,957,81120,961
DJIKSTRA,1.0581,957,267829,961
DFS_NORMAL,0.6495,108895,212341,176721
DFS_LIM,0.5411,108293,213015,176119
BFS,0.5777,901,270019,1537
A*_manhattan_heuristic,0.5471,938,59571,952
A*_taxicab_heuristic,0.5476,938,59571,952
A*_chebyshev_heuristic,0.5425,938,59571,952
DJIKSTRA,1.1135,938,278009,952
DFS_NORMAL,0.4565,33470,56360,58812
DFS_LIM,0.1897,12596,69559,17392
BFS,0.5883,878,279020,2636
A*_manhattan_heuristic,1.2563,1143,199705,1271
A*_taxicab_heuristic,1.2654,1143,199705,1271
A*_chebyshev_heuristic,1.3243,1143,199705,1271
DJIKSTRA,1.3308,1143,281464,1271
DFS_NORMAL,0.0458,2215,2385,3915
DFS_LIM,0.071,2035,3929,3683
BFS,0.6033,1095,279457,4037
A*_manhattan_heuristic,0.8078,1003,117147,1067
A*_taxicab_heuristic,0.8906,1003,117147,1067
A*_chebyshev_heuristic,0.8034,1003,117147,1067
DJIKSTRA,0.9962,1003,247146,1067
DFS_NORMAL,0.5587,67619,108985,128369
DFS_LIM,0.2202,36947,76659,74595
BFS,0.502,977,239529,1573
A*_manhattan_heuristic,0.5251,783,54506,783
A*_taxicab_heuristic,0.6459,783,54506,783
A*_chebyshev_heuristic,0.5177,783,54506,783
DJIKSTRA,1.0598,783,264505,783
DFS_NORMAL,0.6954,103139,163447,200729
DFS_LIM,0.4515,101655,164707,198473
BFS,0.567,731,263439,2077
A*_manhattan_heuristic,0.4602,653,36435,665
A*_taxicab_heuristic,0.5068,653,36435,665
A*_chebyshev_heuristic,0.4416,653,36435,665
DJIKSTRA,1.0984,653,244677,665
DFS_NORMAL,0.1311,14679,24001,25623
DFS_LIM,0.4054,11951,33909,20191
BFS,0.6212,601,243176,1649
A*_manhattan_heuristic,0.4487,697,38949,701
A*_taxicab_heuristic,0.478,697,38949,701
A*_chebyshev_heuristic,0.5307,697,38949,701
DJIKSTRA,0.7993,697,189114,701
DFS_NORMAL,0.5235,34881,62360,70791
DFS_LIM,0.1891,21159,62993,43191
BFS,0.4252,671,192051,1435
A*_manhattan_heuristic,0.4527,754,33889,754
A*_taxicab_heuristic,0.4547,754,33889,754
A*_chebyshev_heuristic,0.4338,754,33889,754
DJIKSTRA,0.7772,754,180426,754
DFS_NORMAL,0.4843,37210,61908,75606
DFS_LIM,0.4062,52792,126462,96792
BFS,0.4105,720,184241,1418
A*_manhattan_heuristic,0.5371,875,53467,875
A*_taxicab_heuristic,0.5373,875,53467,875
A*_chebyshev_heuristic,0.5222,875,53467,875
DJIKSTRA,1.0316,875,216461,875
DFS_NORMAL,0.8766,104277,229714,185181
DFS_LIM,0.5949,92975,229421,167075
BFS,0.52,827,215052,1515
A*_manhattan_heuristic,0.769,799,109796,883
A*_taxicab_heuristic,0.7751,799,109796,883
A*_chebyshev_heuristic,0.7792,799,109796,883
DJIKSTRA,1.116,799,267298,883
DFS_NORMAL,0.7027,98747,156347,170239
DFS_LIM,0.4255,97197,155656,167221
BFS,0.5485,709,238825,2363
A*_manhattan_heuristic,0.4526,709,39494,801
A*_taxicab_heuristic,0.4534,709,39494,801
A*_chebyshev_heuristic,0.4447,709,39494,801
DJIKSTRA,0.7624,709,163708,801
DFS_NORMAL,0.8434,69453,243266,143005
DFS_LIM,0.5685,54627,246285,114389
BFS,0.349,637,156117,1601
A*_manhattan_heuristic,0.3717,494,19643,522
A*_taxicab_heuristic,0.3711,494,19643,522
A*_chebyshev_heuristic,0.376,494,19643,522
DJIKSTRA,0.7066,494,152903,522
DFS_NORMAL,0.6481,73376,129416,119808
DFS_LIM,0.3723,66066,128442,106326
BFS,0.41,488,180610,592
A*_manhattan_heuristic,0.5423,873,55005,873
A*_taxicab_heuristic,0.5363,873,55005,873
A*_chebyshev_heuristic,0.527,873,55005,873
DJIKSTRA,1.0552,873,256773,873
DFS_NORMAL,0.6797,92355,151741,159847
DFS_LIM,0.4053,82835,151441,146263
