Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0149998665,274,61
BA*,0.0300002098,331,61
EBA*,0.0309998989,352,61
DIJKSTRA,0.0149991512,1653,61
DFS_NORMAL,0.0160021782,3807,10247
DFS_LIM,0.0120017529,3861,8821
BFS,0.0069999695,1644,193
A*,0.0149996281,72,41
BA*,0.0300006866,90,41
EBA*,0.0300002098,101,41
DIJKSTRA,0.0100004673,728,41
DFS_NORMAL,0.0040004253,794,2171
DFS_LIM,0.0069999695,2511,4425
BFS,0.0049991608,918,89
A*,0.0149970055,185,49
BA*,0.031003952,198,49
EBA*,0.0300014019,181,49
DIJKSTRA,0.0109996796,508,49
DFS_NORMAL,0.0270023346,13197,2905
DFS_LIM,0.0080001354,2484,4333
BFS,0.0030002594,895,147
A*,0.0169987679,320,69
BA*,0.0320000648,202,73
EBA*,0.0319993496,210,69
DIJKSTRA,0.0179998875,2252,69
DFS_NORMAL,0.0230000019,9031,11425
DFS_LIM,0.0190002918,8414,7925
BFS,0.0069997311,3051,69
A*,0.0199966431,319,64
BA*,0.0310001373,211,64
EBA*,0.0320000648,250,64
DIJKSTRA,0.013999939,1823,64
DFS_NORMAL,0.0159993172,6613,13098
DFS_LIM,0.0169992447,6728,9534
BFS,0.0070002079,2796,64
A*,0.0180001259,60,78
BA*,0.0399980545,82,78
EBA*,0.0329990387,82,78
DIJKSTRA,0.010001421,306,78
DFS_NORMAL,0.0210001469,8270,15820
DFS_LIM,0.0210001469,8816,13306
BFS,0.0029993057,527,78
A*,0.0150027275,20,11
BA*,0.0370013714,26,11
EBA*,0.0420033932,22,11
DIJKSTRA,0.0120019913,62,11
DFS_NORMAL,0.0230000019,8593,11909
DFS_LIM,0.0029997826,373,11
BFS,0.0020005703,70,11
A*,0.0150001049,137,58
BA*,0.0300004482,47,58
EBA*,0.0339984894,40,58
DIJKSTRA,0.0150020123,423,58
DFS_NORMAL,0.0269987583,10433,16224
DFS_LIM,0.0120046139,4839,6278
BFS,0.0019984245,71,58
A*,0.0230009556,628,96
BA*,0.0360002518,945,96
EBA*,0.03799963,805,100
DIJKSTRA,0.0249989033,4532,96
DFS_NORMAL,0.0049996376,1366,4472
DFS_LIM,0.0089988708,2865,2672
BFS,0.0119972229,5436,116
A*,0.0169994831,755,112
BA*,0.0400006771,1279,112
EBA*,0.0359992981,1689,112
DIJKSTRA,0.0249946117,4977,112
DFS_NORMAL,0.0050003529,1265,2504
DFS_LIM,0.0070004463,1385,2266
BFS,0.0149979591,5786,266
A*,0.0189981461,701,105
BA*,0.0340006351,1069,105
EBA*,0.0330004692,1048,105
DIJKSTRA,0.010999918,1144,105
DFS_NORMAL,0.0310003757,12069,10707
DFS_LIM,0.0340020657,12083,10437
BFS,0.0089967251,1976,135
A*,0.0169999599,604,94
BA*,0.0300004482,463,96
EBA*,0.0320003033,847,96
DIJKSTRA,0.0139975548,2240,94
DFS_NORMAL,0.0300002098,13093,7946
DFS_LIM,0.039000988,12998,7908
BFS,0.009002924,3058,680
A*,0.0230038166,1818,133
BA*,0.0330049992,858,133
EBA*,0.0340042114,1195,133
DIJKSTRA,0.0220046043,4915,133
DFS_NORMAL,0.0289964676,11446,12729
DFS_LIM,0.0199985504,6538,7305
BFS,0.0109982491,3678,637
A*,0.018999815,1124,217
BA*,0.0320003033,671,217
EBA*,0.0340008736,772,217
DIJKSTRA,0.018996954,3376,217
DFS_NORMAL,0.0049984455,1480,2861
DFS_LIM,0.0020000935,233,1615
BFS,0.0059986115,2363,795
A*,0.0200023651,1409,131
BA*,0.0380001068,2312,131
EBA*,0.0379984379,1995,167
DIJKSTRA,0.0279965401,7210,131
DFS_NORMAL,0.0269992352,12298,15999
DFS_LIM,0.0240001678,10970,9349
BFS,0.0139966011,5577,773
A*,0.0169997215,675,86
BA*,0.0310027599,692,88
EBA*,0.031996727,795,88
DIJKSTRA,0.0209970474,4271,86
DFS_NORMAL,0.0270023346,12247,10488
DFS_LIM,0.0349977016,11093,6042
BFS,0.0110008717,4321,610
A*,0.0149993896,102,35
BA*,0.0300002098,65,35
EBA*,0.029999733,61,35
DIJKSTRA,0.0090000629,433,35
DFS_NORMAL,0.00299716,204,157
DFS_LIM,0.0059988499,2280,6017
BFS,0.0019977093,452,35
A*,0.0179972649,529,104
BA*,0.031001091,643,104
EBA*,0.0320003033,622,108
DIJKSTRA,0.0159981251,2769,104
DFS_NORMAL,0.0159993172,6751,7428
DFS_LIM,0.025996685,13987,1038
BFS,0.0060005188,2380,740
A*,0.0170009136,458,136
BA*,0.0309998989,443,136
EBA*,0.0310001373,532,148
DIJKSTRA,0.0120010376,1420,136
DFS_NORMAL,0.0150001049,6094,8718
DFS_LIM,0.0290000439,14674,158
BFS,0.0070004463,2440,180
A*,0.0219957829,720,92
BA*,0.033998251,710,96
EBA*,0.0330002308,894,92
DIJKSTRA,0.0129992962,1658,92
DFS_NORMAL,0.0290007591,12004,16172
DFS_LIM,0.0099992752,3581,1502
BFS,0.0070004463,2554,92
A*,0.0180020332,12,9
BA*,0.0380010605,16,9
EBA*,0.0339980125,12,9
DIJKSTRA,0.0099971294,26,9
DFS_NORMAL,0.0250029564,11360,17439
DFS_LIM,0.0020005703,87,9
BFS,0.0019996166,25,9
A*,0.0190000534,1295,113
BA*,0.0420014858,1359,113
EBA*,0.0489971638,1157,113
DIJKSTRA,0.0219991207,3544,113
DFS_NORMAL,0.0149998665,5957,9313
DFS_LIM,0.0080010891,3204,3721
BFS,0.0089976788,3748,805
A*,0.018996954,1258,129
BA*,0.0359954834,1489,141
EBA*,0.0479996204,1385,131
DIJKSTRA,0.0219986439,3299,129
DFS_NORMAL,0.0069990158,2576,3201
DFS_LIM,0.007997036,2950,4975
BFS,0.009996891,4261,549
A*,0.0169994831,484,119
BA*,0.0309970379,599,119
EBA*,0.031999588,770,119
DIJKSTRA,0.023001194,4159,119
DFS_NORMAL,0.0269989967,9991,14845
DFS_LIM,0.0229995251,8013,9243
BFS,0.0119996071,4938,251
A*,0.0169978142,511,106
BA*,0.0319998264,862,106
EBA*,0.0319993496,999,106
DIJKSTRA,0.0209984779,3712,106
DFS_NORMAL,0.0320003033,13698,6746
DFS_LIM,0.0080006123,2480,264
BFS,0.0070023537,2705,350
A*,0.018999815,1195,114
BA*,0.0330004692,1189,148
EBA*,0.0340001583,1163,140
DIJKSTRA,0.0199999809,3585,114
DFS_NORMAL,0.0029981136,273,568
DFS_LIM,0.0050034523,536,394
BFS,0.0110011101,4119,170
A*,0.0170040131,650,79
BA*,0.0299999714,179,79
EBA*,0.029998064,161,79
DIJKSTRA,0.0169947147,2962,79
DFS_NORMAL,0.0230023861,9712,16509
DFS_LIM,0.0199949741,7714,13039
BFS,0.0039970875,995,615
A*,0.0229978561,2431,136
BA*,0.0329973698,939,150
EBA*,0.0329957008,938,136
DIJKSTRA,0.0209991932,4541,136
DFS_NORMAL,0.0140001774,6175,11520
DFS_LIM,0.0180056095,7610,13440
BFS,0.0079996586,2908,150
A*,0.0169999599,726,96
BA*,0.0329995155,1033,96
EBA*,0.0329999924,1212,96
DIJKSTRA,0.0179991722,3235,96
DFS_NORMAL,0.0169942379,7136,12098
DFS_LIM,0.0239987373,10065,16614
BFS,0.0090005398,4140,96
A*,0.0170001984,340,82
BA*,0.0309998989,572,82
EBA*,0.0319998264,744,84
DIJKSTRA,0.0150010586,1767,82
DFS_NORMAL,0.0070002079,1981,7408
DFS_LIM,0.0059943199,1891,2782
BFS,0.0059981346,2473,82
A*,0.0219979286,222,60
BA*,0.036999464,371,60
EBA*,0.0349998474,454,60
DIJKSTRA,0.0119976997,1298,60
DFS_NORMAL,0.0170049667,7279,14494
DFS_LIM,0.0259997845,11233,8296
BFS,0.0049991608,1868,344
A*,0.0249989033,1732,122
BA*,0.0309960842,501,126
EBA*,0.0309996605,638,122
DIJKSTRA,0.0259997845,6550,122
DFS_NORMAL,0.0139973164,5458,8234
DFS_LIM,0.0250008106,11881,10696
BFS,0.0080008507,3004,126
A*,0.0210001469,626,85
BA*,0.041000843,760,85
EBA*,0.0320026875,908,85
DIJKSTRA,0.0150001049,2197,85
DFS_NORMAL,0.0089974403,3377,6267
DFS_LIM,0.0059971809,2384,377
BFS,0.0080001354,3453,85
A*,0.0190005302,293,69
BA*,0.0410001278,524,69
EBA*,0.0350019932,499,69
DIJKSTRA,0.0129978657,1651,69
DFS_NORMAL,0.0279967785,14146,7993
DFS_LIM,0.011002779,4271,6747
BFS,0.0070014,2515,69
A*,0.026999712,3777,167
BA*,0.0370008945,1962,181
EBA*,0.0409989357,1726,189
DIJKSTRA,0.0479981899,9024,167
DFS_NORMAL,0.0060009956,1598,5443
DFS_LIM,0.0289988518,13964,7455
BFS,0.0090010166,3849,181
A*,0.0169994831,753,155
BA*,0.0360002518,906,155
EBA*,0.0390014648,1130,165
DIJKSTRA,0.0400011539,6055,155
