Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.5170013905,57573,707
BA*,0.7089982033,40691,713
EBA*,0.735001564,46548,745
DIJKSTRA,0.8989970684,211760,707
DFS_NORMAL,0.294999361,44205,79867
DFS_LIM,0.1119992733,26663,53197
BFS,0.4549984932,200457,4119
A*,0.2620053291,1617,265
BA*,0.5370023251,2693,269
EBA*,0.5469982624,6593,265
DIJKSTRA,0.3220024109,52730,265
DFS_NORMAL,0.4530005455,73739,157689
DFS_LIM,0.2550005913,84596,164259
BFS,0.1670031548,60467,265
A*,0.4320003986,36113,987
BA*,0.6559994221,30026,995
EBA*,0.7500004768,55221,993
DIJKSTRA,0.9609980583,222682,987
DFS_NORMAL,0.5970003605,128037,174105
DFS_LIM,0.3440005779,130421,150985
BFS,0.5239992142,228275,2797
A*,0.345000267,19615,491
BA*,0.5719966888,10776,497
EBA*,0.5890011787,18936,491
DIJKSTRA,0.47900033,98040,491
DFS_NORMAL,0.4760029316,75865,131381
DFS_LIM,0.2299978733,80076,133397
BFS,0.2289993763,97767,985
A*,0.4029998779,31142,664
BA*,0.6375153065,26403,664
EBA*,0.7639997005,55166,668
DIJKSTRA,0.5469985008,117776,664
DFS_NORMAL,0.5959999561,121559,150642
DFS_LIM,0.3280003071,121891,149226
BFS,0.286000967,120680,980
A*,0.4069972038,31598,684
BA*,0.6310002804,25164,684
EBA*,0.717000246,41496,786
DIJKSTRA,0.7759990692,180235,684
DFS_NORMAL,0.4440002441,63139,92350
DFS_LIM,0.1999950409,66658,95176
BFS,0.4070014954,183795,4860
A*,0.4780008793,46050,759
BA*,0.6839981079,34028,797
EBA*,0.7730002403,55830,793
DIJKSTRA,0.7220008373,163426,759
DFS_NORMAL,0.4279990196,47994,92363
DFS_LIM,0.1679985523,51829,92885
BFS,0.365998745,159288,1849
A*,0.4780004025,44499,867
BA*,0.7280037403,45754,915
EBA*,0.7840008736,61720,935
DIJKSTRA,0.8910024166,207395,867
DFS_NORMAL,0.0510010719,5697,13559
DFS_LIM,0.404001236,48018,22251
BFS,0.4809978008,214776,1527
A*,0.3119995594,12827,444
BA*,0.6079998016,16724,444
EBA*,0.6100001335,16637,464
