Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,0.9994507,830,730
DFS_LIM,2.0005702999999997,815,292
DFS,0.0,209,514
DFS_LIM,0.9987354,274,540
DFS,0.9987354,765,836
DFS_LIM,2.0005702999999997,779,822
DFS,0.9987354,805,613
DFS_LIM,1.999855,855,291
DFS,2.0005702999999997,731,1261
DFS_LIM,1.0004044,820,367
DFS,0.0,87,128
DFS_LIM,1.0015965,92,70
DFS,1.0011196,468,700
DFS_LIM,1.0006428,555,416
DFS,2.0000934999999997,726,857
DFS_LIM,1.0001659,871,201
DFS,1.9996165999999997,710,726
DFS_LIM,1.9996165999999997,713,734
DFS,0.9980201999999999,271,724
DFS_LIM,1.0008812,391,654
DFS,0.9994507,370,666
DFS_LIM,0.0,304,142
DFS,1.0001659,241,380
DFS_LIM,0.9987354,374,460
DFS,1.0004044,386,324
DFS_LIM,1.0027885,364,228
DFS,0.0,74,128
DFS_LIM,0.0,114,134
DFS,1.9967556,742,956
DFS_LIM,1.0023117,843,930
DFS,1.999855,754,1056
DFS_LIM,1.0001659,740,1008
DFS,2.0046234,716,1146
DFS_LIM,1.9955634999999998,764,1046
DFS,0.9996891,660,566
DFS_LIM,2.0008087,623,366
DFS,0.9999275,375,953
DFS_LIM,2.0003319,617,897
DFS,0.9996891,334,680
DFS_LIM,1.0004044,472,658
DFS,0.9999275,280,434
DFS_LIM,0.0,357,162
DFS,2.0036696999999997,820,819
DFS_LIM,0.9984970000000001,613,383
DFS,0.9992123,271,373
DFS_LIM,0.0,52,31
DFS,0.9999275,346,516
DFS_LIM,1.0008812,518,462
DFS,2.0003319,823,630
DFS_LIM,1.0006428,799,550
DFS,1.9996165999999997,688,1225
DFS_LIM,2.0005702999999997,672,933
DFS,2.0020008000000002,798,852
DFS_LIM,1.9984245,801,786
DFS,1.9996165999999997,479,520
DFS_LIM,1.0018349,488,498
DFS,1.0001659,417,861
DFS_LIM,2.0003319,861,673
DFS,0.9999275,270,716
DFS_LIM,1.0018349,407,690
DFS,1.9993782,712,315
DFS_LIM,2.0008087,884,289
DFS,0.9973048999999999,589,901
DFS_LIM,1.0001659,616,657
DFS,2.0005702999999997,772,1093
DFS_LIM,2.0008087,886,817
DFS,1.0006428,418,687
DFS_LIM,1.999855,650,817
DFS,1.0001659,379,585
DFS_LIM,0.9999275,420,589
DFS,0.9987354,563,642
DFS_LIM,1.0008812,600,74
DFS,1.999855,812,861
DFS_LIM,2.0003319,696,303
DFS,0.9994507,429,794
DFS_LIM,0.9999275,518,246
DFS,0.9999275,278,274
DFS_LIM,2.0000934999999997,843,280
DFS,1.0011196,510,525
DFS_LIM,2.0012856,830,769
DFS,0.9987354,338,742
DFS_LIM,0.9984970000000001,392,390
DFS,1.0030270000000001,118,142
DFS_LIM,0.9984970000000001,195,180
DFS,0.0,114,556
DFS_LIM,0.0,178,572
DFS,1.0006428,516,608
DFS_LIM,1.0006428,623,310
DFS,0.0,239,194
DFS_LIM,1.001358,295,184
DFS,2.0039082,554,1002
DFS_LIM,1.9960402999999998,559,182
DFS,0.9987354,347,458
DFS_LIM,0.9992123,588,880
DFS,0.0,281,270
DFS_LIM,1.999855,828,296
DFS,2.0000934999999997,729,1140
DFS_LIM,1.9989014,791,1102
DFS,1.0046959,389,484
DFS_LIM,1.001358,280,328
DFS,0.0,133,152
DFS_LIM,0.0,208,110
DFS,2.0000934999999997,888,565
DFS_LIM,1.0023117,578,419
DFS,1.999855,812,957
DFS_LIM,1.999855,785,781
DFS,0.0,193,462
DFS_LIM,1.0004044,359,510
DFS,0.9999275,371,522
DFS_LIM,1.0001659,541,122
DFS,0.0,163,149
DFS_LIM,1.0011196,335,151
DFS,1.9989014,615,869
DFS_LIM,1.9984245,631,653
DFS,0.9970665,556,680
DFS_LIM,1.9991397999999998,937,748
DFS,0.9977817999999999,290,331
DFS_LIM,0.0,356,353
DFS,0.9999275,600,603
DFS_LIM,1.0001659,579,473
DFS,1.0001659,340,349
DFS_LIM,0.0,230,161
DFS,1.999855,616,783
DFS_LIM,2.0003319,638,571
DFS,0.0,291,547
DFS_LIM,1.0001659,639,513
DFS,1.999855,770,808
DFS_LIM,1.0025501,773,694
DFS,1.0001659,191,228
DFS_LIM,1.0004044,236,224
DFS,1.0001659,370,562
DFS_LIM,1.0020733,649,836
DFS,1.0001659,606,1050
DFS_LIM,1.0025501,583,396
DFS,1.9962788,796,282
DFS_LIM,1.0004044,424,156
DFS,0.0,235,259
DFS_LIM,2.0010471,695,181
DFS,0.0,257,796
DFS_LIM,0.9996891,356,596
DFS,1.0001659,380,469
DFS_LIM,1.0025501,450,247
DFS,0.0,65,165
DFS_LIM,1.0004044,162,211
DFS,0.9999275,63,63
DFS_LIM,1.0030270000000001,83,43
DFS,0.9999275,423,969
DFS_LIM,1.0025501,660,493
DFS,0.9999275,638,580
DFS_LIM,1.0001659,474,286
