Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0019996166,502,392
BA*,0.0030002594,579,392
EBA*,0.003000021,545,392
DIJKSTRA,0.0010011196,522,392
DFS_NORMAL,0.001001358,428,392
DFS_LIM,0.0009999275,474,392
BFS,0.0010008812,501,392
A*,0.0019996166,599,343
BA*,0.0029993057,728,343
EBA*,0.0029997826,633,343
DIJKSTRA,0.0009996891,599,343
DFS_NORMAL,0.001001358,457,343
DFS_LIM,0.0009992123,599,343
BFS,0.0019996166,599,343
A*,0.0020000935,361,206
BA*,0.0020000935,414,206
EBA*,0.003000021,365,206
DIJKSTRA,0.0020003319,472,206
DFS_NORMAL,0.001999855,791,206
DFS_LIM,0.0009999275,735,206
BFS,0.0009996891,623,206
A*,0.001999855,718,664
BA*,0.0030004978,653,664
EBA*,0.0029995441,741,664
DIJKSTRA,0.001999855,720,664
DFS_NORMAL,0.0010011196,380,664
DFS_LIM,0.0010011196,667,664
BFS,0.0010008812,725,664
A*,0.0030004978,667,248
BA*,0.0029995441,403,248
EBA*,0.0030002594,422,248
DIJKSTRA,0.001999855,678,248
DFS_NORMAL,0.0010011196,204,492
DFS_LIM,0.0,399,492
BFS,0.0010008812,477,492
A*,0.0029997826,723,860
BA*,0.0019993782,510,860
EBA*,0.0029997826,605,860
DIJKSTRA,0.0020000935,724,860
DFS_NORMAL,0.0010008812,330,860
DFS_LIM,0.0010008812,472,860
BFS,0.0009996891,481,860
A*,0.0030002594,736,453
BA*,0.0039994717,739,453
EBA*,0.0029993057,688,453
DIJKSTRA,0.0019986629,740,453
DFS_NORMAL,0.001001358,465,453
DFS_LIM,0.0010011196,384,479
BFS,0.0009999275,492,479
A*,0.0019996166,383,740
BA*,0.0029997826,595,740
EBA*,0.001999855,413,740
DIJKSTRA,0.0010011196,383,740
DFS_NORMAL,0.0010011196,372,740
DFS_LIM,0.0009996891,360,740
BFS,0.0,325,740
A*,0.0019993782,765,538
BA*,0.003000021,457,538
EBA*,0.003000021,450,538
DIJKSTRA,0.001999855,774,538
DFS_NORMAL,0.0,278,538
DFS_LIM,0.0010001659,774,538
BFS,0.0010008812,776,538
A*,0.001999855,789,1235
BA*,0.0039997101,746,1235
EBA*,0.0040001869,662,1235
DIJKSTRA,0.001999855,792,1235
DFS_NORMAL,0.0010011196,643,1235
DFS_LIM,0.0020003319,788,1235
BFS,0.0020000935,792,1235
A*,0.0010008812,205,288
BA*,0.0019993782,318,288
EBA*,0.0030002594,221,288
DIJKSTRA,0.0010006428,216,288
DFS_NORMAL,0.0,110,288
DFS_LIM,0.0,201,288
BFS,0.0,216,288
A*,0.001999855,685,413
BA*,0.0029997826,583,413
EBA*,0.0029985905,578,413
DIJKSTRA,0.0020003319,696,413
DFS_NORMAL,0.0010006428,274,855
DFS_LIM,0.0019981861,638,855
BFS,0.0020003319,713,855
A*,0.0020000935,681,552
BA*,0.0030002594,760,552
EBA*,0.0040004253,744,552
DIJKSTRA,0.001999855,699,552
DFS_NORMAL,0.0010008812,486,552
DFS_LIM,0.0,399,808
BFS,0.0010001659,379,808
A*,0.001999855,555,1066
BA*,0.0040001869,799,1066
EBA*,0.0029997826,601,1066
DIJKSTRA,0.001999855,580,1066
DFS_NORMAL,0.001999855,633,1066
DFS_LIM,0.0020000935,705,1066
BFS,0.0020000935,580,1066
A*,0.0020000935,575,437
BA*,0.003000021,579,437
EBA*,0.0029995441,623,437
DIJKSTRA,0.0019996166,583,437
DFS_NORMAL,0.0,279,437
DFS_LIM,0.0010004044,575,437
BFS,0.0009994507,511,437
A*,0.0029997826,690,857
BA*,0.0029995441,657,857
EBA*,0.0029988289,700,857
DIJKSTRA,0.0009999275,691,857
DFS_NORMAL,0.0010011196,416,857
DFS_LIM,0.0010004044,699,857
BFS,0.0010001659,692,857
A*,0.0020000935,697,536
BA*,0.0029995441,670,536
EBA*,0.003000021,655,536
DIJKSTRA,0.0009996891,709,536
DFS_NORMAL,0.001001358,507,536
DFS_LIM,0.0010008812,513,536
BFS,0.0019986629,775,536
A*,0.001999855,308,314
BA*,0.003000021,439,314
EBA*,0.0019996166,310,314
DIJKSTRA,0.001001358,338,314
DFS_NORMAL,0.0,284,314
DFS_LIM,0.0010001659,320,314
BFS,0.0009999275,338,314
A*,0.0010001659,213,272
BA*,0.0019974709,282,272
EBA*,0.0020003319,265,272
DIJKSTRA,0.0010008812,218,272
DFS_NORMAL,0.0009999275,168,272
DFS_LIM,0.0010001659,190,272
BFS,0.0009996891,242,272
A*,0.0019996166,399,238
BA*,0.0030004978,397,238
EBA*,0.0019986629,384,238
DIJKSTRA,0.001001358,408,238
DFS_NORMAL,0.0010011196,648,238
DFS_LIM,0.0,458,238
BFS,0.0010006428,447,238
A*,0.0009999275,424,377
BA*,0.003000021,546,377
EBA*,0.0020000935,440,377
DIJKSTRA,0.0010011196,429,377
DFS_NORMAL,0.0010011196,736,377
DFS_LIM,0.0010011196,649,377
BFS,0.0010015965,429,377
A*,0.001999855,716,284
BA*,0.0029997826,403,284
EBA*,0.003000021,370,284
DIJKSTRA,0.001999855,738,284
DFS_NORMAL,0.001001358,518,284
DFS_LIM,0.0010004044,637,284
BFS,0.0010008812,674,284
A*,0.0009996891,360,535
BA*,0.003000021,538,535
EBA*,0.0019991398,375,535
DIJKSTRA,0.001001358,362,535
DFS_NORMAL,0.0,318,535
DFS_LIM,0.0009996891,356,535
BFS,0.0010001659,362,535
A*,0.001999855,488,260
BA*,0.0030002594,369,260
EBA*,0.0029997826,480,260
DIJKSTRA,0.0010001659,502,260
DFS_NORMAL,0.0010011196,510,1016
DFS_LIM,0.0,489,260
BFS,0.0010006428,432,260
A*,0.0009999275,227,98
BA*,0.0020003319,229,98
EBA*,0.0019991398,236,98
DIJKSTRA,0.0010011196,262,98
DFS_NORMAL,0.0010011196,146,98
DFS_LIM,0.0009999275,176,98
BFS,0.0009999275,264,98
A*,0.003000021,698,341
BA*,0.0029990673,634,341
EBA*,0.0029997826,561,341
DIJKSTRA,0.0020003319,709,341
DFS_NORMAL,0.0010001659,625,341
DFS_LIM,0.0019986629,749,341
BFS,0.0009996891,757,341
A*,0.0020003319,606,478
BA*,0.0029997826,792,478
EBA*,0.003000021,583,478
DIJKSTRA,0.001001358,606,478
DFS_NORMAL,0.0010011196,262,478
DFS_LIM,0.0019984245,580,478
BFS,0.0010018349,620,478
A*,0.001999855,791,735
BA*,0.003000021,632,735
EBA*,0.0029995441,526,735
DIJKSTRA,0.003000021,791,735
DFS_NORMAL,0.001001358,361,735
DFS_LIM,0.0010008812,764,735
BFS,0.0010008812,791,735
A*,0.0019996166,658,567
BA*,0.0030002594,728,567
EBA*,0.003000021,702,567
DIJKSTRA,0.0019996166,667,567
DFS_NORMAL,0.0009996891,617,567
DFS_LIM,0.0019996166,797,567
BFS,0.0010011196,667,567
A*,0.0020000935,608,290
BA*,0.0029997826,481,290
EBA*,0.0030004978,515,290
DIJKSTRA,0.0019996166,677,290
DFS_NORMAL,0.0,192,290
DFS_LIM,0.0010006428,616,290
BFS,0.0019989014,719,290
A*,0.001999855,441,168
BA*,0.001999855,368,168
EBA*,0.0030002594,374,168
DIJKSTRA,0.0019996166,507,168
DFS_NORMAL,0.0010011196,553,168
DFS_LIM,0.0010008812,476,168
BFS,0.001001358,589,168
A*,0.0020003319,434,175
BA*,0.0029990673,543,175
EBA*,0.003000021,499,175
DIJKSTRA,0.001001358,478,175
DFS_NORMAL,0.0010011196,467,175
DFS_LIM,0.0010001659,514,175
BFS,0.001001358,614,175
A*,0.003000021,667,929
BA*,0.0039997101,772,929
EBA*,0.0030004978,666,929
DIJKSTRA,0.001999855,719,929
DFS_NORMAL,0.0020000935,633,929
DFS_LIM,0.0009994507,675,929
BFS,0.0010004044,719,929
A*,0.0020003319,459,556
BA*,0.0019989014,370,556
EBA*,0.0020000935,340,556
DIJKSTRA,0.0010011196,459,556
DFS_NORMAL,0.0010006428,431,556
DFS_LIM,0.0009999275,224,556
BFS,0.0,227,556
A*,0.0019996166,630,674
BA*,0.0029990673,769,674
EBA*,0.0029997826,669,674
DIJKSTRA,0.0019996166,697,674
DFS_NORMAL,0.0020000935,512,674
DFS_LIM,0.0020000935,624,674
BFS,0.001999855,696,674
A*,0.001999855,465,390
BA*,0.0029997826,657,390
EBA*,0.0029990673,575,390
DIJKSTRA,0.0020003319,490,390
DFS_NORMAL,0.001999855,661,390
DFS_LIM,0.0010008812,540,390
BFS,0.0010008812,488,390
A*,0.001999855,520,185
