Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0009999275,11,8
BA*,0.0010018349,14,8
EBA*,0.0019996166,11,8
DIJKSTRA,0.0010023117,13,8
DFS_NORMAL,0.0019977093,784,622
DFS_LIM,0.0,26,8
BFS,0.0,14,8
A*,0.0010027885,117,109
BA*,0.0019972324,115,109
EBA*,0.0020008087,105,109
DIJKSTRA,0.0010015965,131,109
DFS_NORMAL,0.0,31,109
DFS_LIM,0.0009999275,77,109
BFS,0.0,75,109
A*,0.001999855,322,287
BA*,0.0020003319,431,287
EBA*,0.001999855,354,287
DIJKSTRA,0.0010004044,337,287
DFS_NORMAL,0.0,223,287
DFS_LIM,0.0009982586,362,287
BFS,0.0,337,287
A*,0.001003027,44,29
BA*,0.0010018349,48,29
EBA*,0.0019996166,45,29
DIJKSTRA,0.0010004044,77,29
DFS_NORMAL,0.0009977818,755,29
DFS_LIM,0.0009996891,103,29
BFS,0.0010011196,76,29
A*,0.0019993782,90,67
BA*,0.001996994,114,67
EBA*,0.0020000935,114,67
DIJKSTRA,0.0010004044,93,67
DFS_NORMAL,0.0,262,67
DFS_LIM,0.0,143,67
BFS,0.0,188,67
A*,0.0010001659,52,139
BA*,0.001999855,68,139
EBA*,0.0010018349,76,139
DIJKSTRA,0.0010018349,55,139
DFS_NORMAL,0.0019972324,787,139
DFS_LIM,0.0010001659,225,139
BFS,0.0009996891,98,139
A*,0.0010001659,18,16
BA*,0.0010011196,24,16
EBA*,0.0020000935,18,16
DIJKSTRA,0.0010023117,18,16
DFS_NORMAL,0.0019974709,732,566
DFS_LIM,0.0,34,16
BFS,0.0,30,16
A*,0.0030004978,596,280
BA*,0.003000021,338,280
EBA*,0.0029997826,323,280
DIJKSTRA,0.0020000935,601,280
DFS_NORMAL,0.0010001659,701,280
DFS_LIM,0.0009999275,698,280
BFS,0.0009996891,751,280
A*,0.0010001659,46,26
BA*,0.0020005703,64,26
EBA*,0.0019993782,51,26
DIJKSTRA,0.0,54,26
DFS_NORMAL,0.0009999275,538,1314
DFS_LIM,0.0,70,26
BFS,0.0,54,26
A*,0.0,18,14
BA*,0.001999855,26,14
EBA*,0.001999855,18,14
DIJKSTRA,0.0,30,14
DFS_NORMAL,0.0009980202,300,14
DFS_LIM,0.0,32,14
BFS,0.0,30,14
A*,0.0020000935,730,972
BA*,0.0030002594,504,972
EBA*,0.0039999485,562,972
DIJKSTRA,0.0019996166,730,972
DFS_NORMAL,0.0,288,972
DFS_LIM,0.0010004044,408,972
BFS,0.0010018349,606,972
A*,0.0019996166,513,314
BA*,0.0030002594,497,314
EBA*,0.0020000935,497,314
DIJKSTRA,0.001999855,564,314
DFS_NORMAL,0.0020029545,620,314
DFS_LIM,0.0009975433,592,686
BFS,0.0010015965,545,686
A*,0.001999855,253,147
BA*,0.0020000935,197,147
EBA*,0.0019996166,209,147
DIJKSTRA,0.0009999275,298,147
DFS_NORMAL,0.0,65,147
DFS_LIM,0.0010001659,202,147
BFS,0.0,223,147
A*,0.001999855,443,819
BA*,0.0030004978,732,819
EBA*,0.0029997826,465,819
DIJKSTRA,0.0020000935,452,819
DFS_NORMAL,0.0,385,819
DFS_LIM,0.000998497,408,819
BFS,0.0,452,819
A*,0.0019993782,275,690
BA*,0.0020000935,438,690
EBA*,0.001999855,409,690
DIJKSTRA,0.0010008812,275,690
DFS_NORMAL,0.0,152,690
DFS_LIM,0.0,275,690
BFS,0.0010004044,275,690
A*,0.0020017624,423,461
BA*,0.0029997826,489,461
EBA*,0.003000021,485,461
DIJKSTRA,0.0010020733,471,461
DFS_NORMAL,0.0010015965,639,461
DFS_LIM,0.0009999275,503,461
BFS,0.001001358,544,461
A*,0.0020003319,593,739
BA*,0.003000021,749,739
EBA*,0.0030002594,623,739
DIJKSTRA,0.0010018349,618,739
DFS_NORMAL,0.0010004044,492,739
DFS_LIM,0.0010015965,622,739
BFS,0.0010001659,619,739
A*,0.0029995441,762,613
BA*,0.0029993057,607,613
EBA*,0.0029997826,573,613
DIJKSTRA,0.0019996166,762,613
DFS_NORMAL,0.0010020733,702,613
DFS_LIM,0.0010015965,712,613
BFS,0.001003027,762,613
A*,0.0010004044,192,97
BA*,0.0019996166,265,97
EBA*,0.0020000935,248,97
DIJKSTRA,0.0010018349,225,97
DFS_NORMAL,0.0009982586,273,97
DFS_LIM,0.0010018349,275,97
BFS,0.0,291,97
A*,0.0010004044,55,27
BA*,0.0019996166,55,27
EBA*,0.0010018349,60,27
DIJKSTRA,0.0009999275,67,27
DFS_NORMAL,0.0,33,27
DFS_LIM,0.0,54,27
BFS,0.0,67,27
A*,0.001001358,134,190
BA*,0.0019996166,92,190
EBA*,0.0020010471,74,190
DIJKSTRA,0.0010001659,178,190
DFS_NORMAL,0.0010018349,498,190
DFS_LIM,0.0009982586,221,190
BFS,0.0009996891,121,190
A*,0.0010001659,43,33
BA*,0.0019996166,54,33
EBA*,0.0009999275,47,33
DIJKSTRA,0.0010027885,65,33
DFS_NORMAL,0.0,33,33
DFS_LIM,0.0,79,33
BFS,0.0,89,33
A*,0.003000021,685,577
BA*,0.003000021,736,577
EBA*,0.0029997826,574,577
DIJKSTRA,0.0020012856,689,577
DFS_NORMAL,0.0010011196,431,577
DFS_LIM,0.0010018349,607,577
BFS,0.0019979477,689,577
A*,0.0020000935,673,557
BA*,0.0030026436,738,557
EBA*,0.0029997826,698,557
DIJKSTRA,0.0019996166,694,557
DFS_NORMAL,0.0010001659,541,557
DFS_LIM,0.0020000935,699,557
BFS,0.001999855,695,557
A*,0.0009999275,29,52
BA*,0.0020022392,7,52
EBA*,0.0019979477,29,52
DIJKSTRA,0.0,31,52
DFS_NORMAL,0.0,4,52
DFS_LIM,0.0009987354,4,52
BFS,0.0,7,52
A*,0.0009999275,114,306
BA*,0.0020005703,182,306
EBA*,0.001999855,145,306
DIJKSTRA,0.0,140,306
DFS_NORMAL,0.0010004044,274,550
DFS_LIM,0.0,30,306
BFS,0.0,22,306
A*,0.0009999275,2,2
BA*,0.0010020733,2,2
EBA*,0.0019991398,3,2
DIJKSTRA,0.0010025501,2,2
DFS_NORMAL,0.0019977093,789,2
DFS_LIM,0.0010001659,20,2
BFS,0.0,2,2
A*,0.001999855,397,557
BA*,0.003000021,512,557
EBA*,0.0029997826,621,557
DIJKSTRA,0.0020000935,405,557
DFS_NORMAL,0.0010025501,397,557
DFS_LIM,0.0,281,557
BFS,0.0,256,557
A*,0.0,21,447
BA*,0.0020000935,32,447
EBA*,0.001999855,21,447
DIJKSTRA,0.0,23,447
DFS_NORMAL,0.0,15,447
DFS_LIM,0.000998497,15,447
BFS,0.0,23,447
A*,0.0,28,39
BA*,0.001999855,40,39
EBA*,0.0019991398,34,39
DIJKSTRA,0.0,49,39
DFS_NORMAL,0.0,48,39
DFS_LIM,0.0,41,39
BFS,0.0,49,39
A*,0.0030004978,772,546
BA*,0.0029993057,215,546
EBA*,0.003000021,274,546
DIJKSTRA,0.001999855,789,546
DFS_NORMAL,0.0,158,546
DFS_LIM,0.0009999275,320,546
BFS,0.0010008812,379,546
A*,0.0009999275,94,70
